institution_id,name,short_name,institution_type,ownership,city,district,state,official_website,description,major_domains,innovation_ecosystem,incubation_available,research_available,industry_collaboration,location_lat,location_lng,source_url,source_type,last_verified,verification_status,data_status
INST001,Indian Institute of Technology (Indian School of Mines) Dhanbad,IIT (ISM) Dhanbad,Institute of National Importance,Central Government,Dhanbad,Dhanbad,Jharkhand,https://www.iitism.ac.in,"Premier technical institute established in 1926, renowned for earth sciences, mining, environmental engineering, hydrology, and advanced computing.",Earth Sciences;Mining Engineering;Hydrology;Environmental Engineering;Computer Science;Mechanical Engineering,Active,True,True,True,23.8143,86.4412,https://www.iitism.ac.in,official_portal,2026-09-07,verified,verified_real
INST002,Birla Institute of Technology Mesra,BIT Mesra,Deemed University,Private Aided,Ranchi,Ranchi,Jharkhand,https://www.bitmesra.ac.in,"Pioneering technical and engineering institution established in 1955, recognized for remote sensing, civil engineering, computer applications, and pharmaceuticals.",Remote Sensing;GIS;Civil Engineering;Environmental Science;Pharmaceutical Sciences;Computer Science,Active,True,True,True,23.4243,85.4385,https://www.bitmesra.ac.in,official_portal,2026-09-07,verified,verified_real
INST003,National Institute of Technology Jamshedpur,NIT Jamshedpur,Institute of National Importance,Central Government,Jamshedpur,East Singhbhum,Jharkhand,https://www.nitjsr.ac.in,"Institute of national importance established in 1960, specializing in metallurgical engineering, civil infrastructure, water resource engineering, and manufacturing.",Metallurgical Engineering;Materials Science;Civil Engineering;Water Resources;Manufacturing;Electrical Engineering,Active,True,True,True,22.7758,86.1438,https://www.nitjsr.ac.in,official_portal,2026-09-07,verified,verified_real
INST004,Birsa Institute of Technology Sindri,BIT Sindri,State University Institute,State Government,Dhanbad,Dhanbad,Jharkhand,https://www.bitsindri.ac.in,"Apex government engineering college of Jharkhand founded in 1949, with focus areas in mining, metallurgy, chemical, and civil engineering infrastructure.",Civil Engineering;Mining Engineering;Chemical Engineering;Electrical Engineering;Mechanical Engineering,Developing,True,True,True,23.6534,86.4719,https://www.bitsindri.ac.in,official_portal,2026-09-07,verified,verified_real
INST005,Birsa Agricultural University,BAU Ranchi,State Agricultural University,State Government,Ranchi,Ranchi,Jharkhand,https://www.bauranchi.org,"State agricultural university established in 1981, dedicated to plateau agriculture, soil science, forestry, agronomy, and crop pathology.",Agriculture;Soil Science;Agronomy;Crop Pathology;Forestry;Veterinary Sciences,Active,True,True,True,23.4475,85.3183,https://www.bauranchi.org,official_portal,2026-09-07,verified,verified_real
INST006,Rajendra Institute of Medical Sciences,RIMS Ranchi,Autonomous Medical Institute,State Government,Ranchi,Ranchi,Jharkhand,https://www.rimsranchi.ac.in,"Premier tertiary care healthcare and medical research institution established in 1960, serving as Jharkhand's primary public health referral hub.",Public Health;Epidemiology;Microbiology;Community Medicine;Pathology;Biomedical Sciences,Developing,False,True,True,23.3855,85.3572,https://www.rimsranchi.ac.in,official_portal,2026-09-07,verified,verified_real
INST007,All India Institute of Medical Sciences Deoghar,AIIMS Deoghar,Institute of National Importance,Central Government,Deoghar,Deoghar,Jharkhand,https://www.aiimsdeoghar.edu.in,"Autonomous apex public healthcare and research institute established under PMSSY, specializing in rural health outreach and community medicine.",Community Medicine;Public Health;Microbiology;General Medicine;Preventive Healthcare,Developing,False,True,True,24.4754,86.6853,https://www.aiimsdeoghar.edu.in,official_portal,2026-09-07,verified,verified_real
INST008,Indian Institute of Management Ranchi,IIM Ranchi,Institute of National Importance,Central Government,Ranchi,Ranchi,Jharkhand,https://www.iimranchi.ac.in,"Autonomous premier business management school established in 2009, with strong research in public policy, operations management, and rural development economics.",Public Policy;Operations Management;Rural Livelihood;Economics;Business Analytics,Active,True,True,True,23.3082,85.2974,https://www.iimranchi.ac.in,official_portal,2026-09-07,verified,verified_real
INST009,Indian Institute of Information Technology Ranchi,IIIT Ranchi,Institute of National Importance,PPP Mode,Ranchi,Ranchi,Jharkhand,https://www.iiitranchi.ac.in,"Institute of national importance established under PPP model, specializing in artificial intelligence, IoT, embedded systems, and data engineering.",Artificial Intelligence;Machine Learning;Data Science;IoT;Embedded Systems;Communication Systems,Developing,True,True,True,23.3615,85.3486,https://www.iiitranchi.ac.in,official_portal,2026-09-07,verified,verified_real
INST010,Central University of Jharkhand,CUJ Ranchi,Central University,Central Government,Ranchi,Ranchi,Jharkhand,https://www.cuj.ac.in,"Central university established in 2009, focusing on environmental sciences, tribal studies, water engineering, and energy sciences.",Environmental Science;Water Engineering;Tribal Studies;Energy Science;Applied Sciences,Developing,True,True,True,23.3869,85.2078,https://www.cuj.ac.in,official_portal,2026-09-07,verified,verified_real
